iter	Passed	Remaining
0	29	17788
1	49	14756
2	66	13200
3	81	12163
4	94	11294
5	107	10619
6	119	10114
7	131	9761
8	143	9448
9	156	9240
10	169	9087
11	183	9009
12	195	8848
13	207	8688
14	219	8547
15	231	8460
16	243	8364
17	255	8260
18	268	8216
19	280	8131
20	292	8076
21	304	8006
22	317	7959
23	329	7912
24	344	7914
25	355	7851
26	368	7810
27	379	7744
28	391	7704
29	404	7677
30	416	7650
31	429	7615
32	440	7566
33	452	7533
34	463	7485
35	475	7443
36	487	7415
37	498	7379
38	510	7347
39	522	7311
40	533	7279
41	546	7266
42	562	7284
43	576	7289
44	590	7287
45	601	7248
46	617	7263
47	668	7684
48	716	8057
49	775	8532
50	817	8797
51	864	9110
52	915	9449
53	956	9672
54	996	9871
55	1046	10162
56	1095	10434
57	1133	10587
58	1171	10740
59	1212	10910
60	1247	11026
61	1285	11153
62	1326	11309
63	1365	11439
64	1405	11564
65	1463	11844
66	1506	11986
67	1550	12129
68	1604	12347
69	1643	12441
70	1679	12514
71	1721	12622
72	1760	12710
73	1798	12781
74	1831	12821
75	1865	12860
76	1903	12926
77	1940	12985
78	1983	13080
79	2016	13107
80	2056	13177
81	2092	13218
82	2139	13329
83	2190	13455
84	2233	13532
85	2274	13592
86	2315	13651
87	2361	13737
88	2412	13848
89	2455	13915
90	2499	13980
91	2551	14087
92	2594	14143
93	2639	14208
94	2686	14279
95	2729	14327
96	2774	14384
97	2824	14467
98	2872	14534
99	2917	14589
100	2962	14635
101	3004	14669
102	3033	14638
103	3048	14537
104	3064	14444
105	3079	14353
106	3095	14261
107	3110	14170
108	3126	14081
109	3141	13992
110	3156	13903
111	3170	13812
112	3186	13734
113	3203	13657
114	3219	13575
115	3233	13490
116	3247	13404
117	3262	13324
118	3277	13247
119	3292	13169
120	3306	13088
121	3320	13008
122	3334	12929
123	3348	12854
124	3361	12774
125	3373	12690
126	3386	12614
127	3400	12537
128	3413	12461
129	3427	12390
130	3441	12319
131	3455	12250
132	3467	12176
133	3479	12101
134	3491	12027
135	3504	11957
136	3518	11891
137	3530	11818
138	3547	11766
139	3560	11697
140	3571	11626
141	3584	11559
142	3597	11496
143	3610	11431
144	3621	11364
145	3633	11297
146	3645	11235
147	3657	11171
148	3670	11110
149	3682	11047
150	3695	10987
151	3707	10928
152	3720	10870
153	3732	10810
154	3744	10751
155	3757	10694
156	3769	10635
157	3781	10579
158	3793	10522
159	3807	10470
160	3819	10413
161	3830	10356
162	3842	10302
163	3854	10248
164	3881	10232
165	3900	10198
166	3917	10156
167	3932	10113
168	3947	10066
169	3963	10025
170	3977	9978
171	3991	9933
172	4007	9892
173	4020	9842
174	4032	9793
175	4045	9746
176	4057	9697
177	4070	9649
178	4081	9598
179	4092	9550
180	4104	9501
181	4115	9452
182	4127	9405
183	4139	9358
184	4151	9312
185	4164	9268
186	4175	9221
187	4186	9174
188	4198	9130
189	4210	9084
190	4221	9039
191	4232	8994
192	4244	8951
193	4256	8907
194	4268	8864
195	4279	8820
196	4290	8777
197	4301	8734
198	4313	8692
199	4325	8651
200	4338	8612
201	4351	8573
202	4363	8533
203	4375	8493
204	4387	8454
205	4399	8414
206	4411	8375
207	4423	8335
208	4434	8295
209	4445	8256
210	4457	8217
211	4469	8180
